Gene_ID,EigenvectoreCentrality,PageRank
7320,0.0010355144980124008,3.216679422477275e-05
80314,2.8148992348951956e-05,3.204722695335306e-05
57146,1.0573025007486279e-05,1.7478757868560024e-05
57213,2.924291258383477e-06,4.908786135390244e-05
80199,0.00014189302753645375,7.094983840034846e-05
51533,0.00011125666026303546,1.4472591104705063e-05
55250,5.829815700278149e-05,0.00011826820929251697
23369,4.082010053766424e-05,7.837374924495807e-05
285343,0.0007901506526249333,8.860620457036596e-05
6615,0.0006064481206167036,2.7226949575748704e-05
5618,0.0007176915788444172,6.466429580616563e-05
2950,0.00019951662770403163,0.00013414610971534957
4489,0.0020361979838168093,2.878267574972801e-05
6428,0.0009426892095765985,0.0002604242056063468
4780,1.990117008751123e-05,1.26704015929251e-05
54677,0.007997558678465324,4.0049085159762985e-05
5971,0.00025060825391011546,0.00021383121220476856
153222,1.382885810197452e-05,3.6157268618084684e-05
1305,0.0019095590220875383,5.329223519424831e-05
10197,0.00011833368102607654,1.763996880537056e-05
201254,5.4198100796289296e-05,2.9142929079623172e-05
414301,5.145329581488155e-05,5.43651565854145e-05
9684,1.544720697923452e-05,2.8719578316970647e-05
55859,0.00030357334478233144,5.596637012571522e-05
10208,5.692353414460562e-05,0.00029649083761319886
84174,0.0010046613781822757,7.998728928727571e-05
2237,0.0019345084069071154,0.0001216243861263037
5451,0.000614294212983891,1.8076879309927345e-05
10096,3.425021937208246e-08,0.00021375701471716693
64064,4.9414662895791256e-05,1.4552954836009749e-05
646,4.440231026436758e-05,2.795909382616253e-05
9051,0.007917338791092314,1.53513241144763e-05
2563,7.197880837845747e-05,6.0496401108509395e-05
84058,1.5323533941971134e-05,2.4413105456404173e-05
7005,0.00021981600296083363,3.864940567626988e-05
6591,7.851042229750661e-05,5.6586898399577425e-05
8301,0.00011893796611901528,2.560784499168645e-05
11187,8.423193763400245e-05,0.0007043574858836628
373,0.002697825529518007,2.5048165857807622e-05
283455,0.00014279928443729025,6.425356524489207e-05
55022,0.00011769062351591191,1.9499646277016038e-05
127540,2.2059323950233907e-05,3.0780317951532385e-05
51260,7.769017081930467e-05,1.549320981697009e-05
417,3.6194414268058093e-06,6.520980723361182e-05
92610,0.0006181471013748272,1.5610205293880418e-05
114785,5.206997376039371e-07,2.6472136478345843e-05
4319,4.551598268362444e-07,4.996360550190758e-05
6641,2.126457383387653e-05,0.0002001120294365855
342371,0.0003433873616982927,3.173980215698556e-05
126969,5.51219845172953e-06,9.305717435145844e-05
4068,0.0005655094075157425,1.628936905353495e-05
